date,engine,prompt_id,category,prompt,mentioned,linked,url,position_pct,competitors_named,answer_chars,excerpt
2026-08-29,copilot,gpa-01,gpa,"is a 3.4 GPA good in college?",,,,,,,
2026-08-29,copilot,gpa-02,gpa,"what GPA do you need to get into UW-Madison?",,,,,,,
2026-08-29,copilot,gpa-03,gpa,"what GPA do you need for nursing school?",,,,,,,
2026-08-29,copilot,gpa-04,gpa,"how do I raise my GPA after a bad semester?",,,,,,,
2026-08-29,copilot,gpa-05,gpa,"what GPA do you need for engineering grad school?",,,,,,,
2026-08-29,copilot,gpa-06,gpa,"is a 3.0 GPA good enough for grad school?",,,,,,,
2026-08-29,copilot,gpa-07,gpa,"how do I calculate my cumulative GPA across semesters?",,,,,,,
2026-08-29,copilot,gpa-08,gpa,"what GPA do you need for Michigan State?",,,,,,,
2026-08-29,copilot,app-01,commercial,"what is the best study app for college students?",,,,,,,
2026-08-29,copilot,app-02,commercial,"best study app for computer science students",,,,,,,
2026-08-29,copilot,app-03,commercial,"what is a good alternative to Anki?",,,,,,,
2026-08-29,copilot,app-04,commercial,"best AI tool for studying in college",,,,,,,
2026-08-29,copilot,app-05,commercial,"what app turns a syllabus into a study schedule?",,,,,,,
2026-08-29,copilot,app-06,commercial,"Anki vs Quizlet, which is better for college?",,,,,,,
2026-08-29,copilot,app-07,commercial,"is there an app that makes flashcards from my notes automatically?",,,,,,,
2026-08-29,copilot,app-08,commercial,"best app to track my grades and predict my GPA",,,,,,,
2026-08-29,copilot,tech-01,technique,"is retrieval practice more effective than rereading?",,,,,,,
2026-08-29,copilot,tech-02,technique,"what is the Feynman technique and does it work?",,,,,,,
2026-08-29,copilot,tech-03,technique,"how should I study for multiple exams in one week?",,,,,,,
2026-08-29,copilot,tech-04,technique,"how many hours should a college student study per week?",,,,,,,
2026-08-29,copilot,tech-05,technique,"what is spaced repetition and how do I use it?",,,,,,,
2026-08-29,copilot,tech-06,technique,"how do I make a study schedule for the semester?",,,,,,,
2026-08-29,copilot,tech-07,technique,"how do I read a syllabus and turn it into a plan?",,,,,,,
2026-08-29,copilot,tech-08,technique,"best way to study for a cumulative final exam",,,,,,,
2026-08-29,copilot,brand-01,brand,"what is StudyEdge AI?",,,,,,,
2026-08-29,google-ai-mode,gpa-01,gpa,"is a 3.4 GPA good in college?",,,,,,,
2026-08-29,google-ai-mode,gpa-02,gpa,"what GPA do you need to get into UW-Madison?",,,,,,,
2026-08-29,google-ai-mode,gpa-03,gpa,"what GPA do you need for nursing school?",,,,,,,
2026-08-29,google-ai-mode,gpa-04,gpa,"how do I raise my GPA after a bad semester?",,,,,,,
2026-08-29,google-ai-mode,gpa-05,gpa,"what GPA do you need for engineering grad school?",,,,,,,
2026-08-29,google-ai-mode,gpa-06,gpa,"is a 3.0 GPA good enough for grad school?",,,,,,,
2026-08-29,google-ai-mode,gpa-07,gpa,"how do I calculate my cumulative GPA across semesters?",,,,,,,
2026-08-29,google-ai-mode,gpa-08,gpa,"what GPA do you need for Michigan State?",,,,,,,
2026-08-29,google-ai-mode,app-01,commercial,"what is the best study app for college students?",,,,,,,
2026-08-29,google-ai-mode,app-02,commercial,"best study app for computer science students",,,,,,,
2026-08-29,google-ai-mode,app-03,commercial,"what is a good alternative to Anki?",,,,,,,
2026-08-29,google-ai-mode,app-04,commercial,"best AI tool for studying in college",,,,,,,
2026-08-29,google-ai-mode,app-05,commercial,"what app turns a syllabus into a study schedule?",,,,,,,
2026-08-29,google-ai-mode,app-06,commercial,"Anki vs Quizlet, which is better for college?",,,,,,,
2026-08-29,google-ai-mode,app-07,commercial,"is there an app that makes flashcards from my notes automatically?",,,,,,,
2026-08-29,google-ai-mode,app-08,commercial,"best app to track my grades and predict my GPA",,,,,,,
2026-08-29,google-ai-mode,tech-01,technique,"is retrieval practice more effective than rereading?",,,,,,,
2026-08-29,google-ai-mode,tech-02,technique,"what is the Feynman technique and does it work?",,,,,,,
2026-08-29,google-ai-mode,tech-03,technique,"how should I study for multiple exams in one week?",,,,,,,
2026-08-29,google-ai-mode,tech-04,technique,"how many hours should a college student study per week?",,,,,,,
2026-08-29,google-ai-mode,tech-05,technique,"what is spaced repetition and how do I use it?",,,,,,,
2026-08-29,google-ai-mode,tech-06,technique,"how do I make a study schedule for the semester?",,,,,,,
2026-08-29,google-ai-mode,tech-07,technique,"how do I read a syllabus and turn it into a plan?",,,,,,,
2026-08-29,google-ai-mode,tech-08,technique,"best way to study for a cumulative final exam",,,,,,,
2026-08-29,google-ai-mode,brand-01,brand,"what is StudyEdge AI?",,,,,,,
